No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q6.html"",""平成17年春期 問6"")",2024/8/11
2,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q66.html"",""平成17年春期 問66"")",2024/8/11
